id,name,address,zipcode,score
1876448,Ji Grindstaff,"343 Third St. Houston, TX 77016",77016,0.5174975367
1372437,Augustina Uren,"9940 Prairie Ave. Deer Park, NY 11729",11729,0.9055414601
1368305,Yolonda Nave,"478 Grove Drive Hicksville, NY 11801",11801,0.2407929709
1974494,Adriana Mcburney,"909 Vermont St. Livonia, MI 48150",48150,0.3432604494
1257724,Dione Reeb,"7758 West Devon St. Algonquin, IL 60102",60102,0.5395817998
1758057,Geri Bones,"720 Marsh Road Tucker, GA 30084",30084,0.9270786453
1531660,Krystal Pablo,"227 Bishop St. Bemidji, MN 56601",56601,0.1871476497
1489311,Tonia Behnke,"51 Ramblewood St. Hobart, IN 46342",46342,0.1171643897
1407706,Fidel Speers,"714 Hilldale Ave. Cumming, GA 30040",30040,0.2359154945
196838,Necole Hunkins,"14 South Grove St. Coatesville, PA 19320",19320,0.06037660472
1195675,Tona Crays,"136 Somerset Dr. Chester, PA 19013",19013,0.6864072435
1659366,Mary Zeitz,"6 Thatcher St. Hillsboro, OR 97124",97124,0.643440095
1499004,Rudolph Sinquefield,"673 Elmwood Drive Fairburn, GA 30213",30213,0.9164648402
1344333,Marhta Rodrigue,"7284 Young Lane Upland, CA 91784",91784,0.6359473777
1443888,Ricardo Bundrick,"19 Rock Creek St. Sulphur, LA 70663",70663,0.4666323814
1108778,Myron Barrick,"450 Boston Street Solon, OH 44139",44139,0.7162866466
175583,Nichol Poulton,"34 Old 8th Drive Carmel, NY 10512",10512,0.2922429056
1251872,Boyd Padilla,"7351 North Spring Ave. Oshkosh, WI 54901",54901,0.4839780673
1493851,Orpha Yokoyama,"7805 Newport Street Sylvania, OH 43560",43560,0.7630316714
1599418,Ulysses Harps,"9138 Gates Street Braintree, MA 02184",1284,0.3491518542
1768701,Sulema Aguero,"42 South Wayne St. Hollywood, FL 33020",33020,0.7137308073
1549489,Meredith Warman,"98 Corona Court Morton Grove, IL 60053",60053,0.5057767373
1879799,Vonda Borth,"97 Tunnel Dr. Elyria, OH 44035",44035,0.6586585941
125454,Candida Uvalle,"608 Heritage Street Harrison Township, MI 48045",48045,0.6696324006
